,종목명,시가총액(억 원),부채율(%),배당률(%),PBR,GP/A
025860,남해화학,4302,72.97,1.18,0.81,19.29338797208993
263770,유에스티,989,26.58,3.21,1.06,0.2255125284738041
333050,모코엠시스,343,43.01,0.95,1.76,0.2518518518518518
001630,종근당홀딩스,2555,72.36,2.64,0.49,29.003196745132232
100030,인지소프트,689,21.79,4.04,1.07,0.18524590163934426
322780,코퍼스코리아,935,194.7,0.36,1.97,0.11332858161083392
019180,티에이치엔,828,306.14,1.43,0.72,19.22455573505654
010770,평화홀딩스,580,355.85,4.0,0.54,11.335959885386819
227840,현대코퍼레이션홀딩스,1037,32.1,4.83,0.41,12.293144208037825
214450,파마리서치,9942,28.63,0.94,2.03,0.29617234888098726
290650,엘앤씨바이오,6986,85.24,0.22,5.02,0.13520280420630945
002220,한일철강,914,94.32,1.07,0.43,3.9799528301886795
002020,코오롱,2588,287.68,2.51,0.31,15.309882747068675
003850,보령,5996,72.8,1.1,1.15,34.42402510085164
000660,SK하이닉스,634818,64.12,1.6,0.83,15.045416692740549
067370,선바이오,1452,79.95,0.45,5.7,0.1048951048951049
003120,일성신약,3737,10.96,23.7,0.42,5.643203883495146
005930,삼성전자,3826630,26.41,2.61,1.09,25.018615173791797
214430,아이쓰리시스템,1488,44.07,1.08,1.6,0.13415710503089143
002030,아세아,3257,70.66,2.85,0.29,14.14027149321267
285130,SK케미칼,12612,45.66,2.05,0.66,15.589122335707225
006090,사조오양,771,66.65,1.5,0.37,10.518648018648019
005610,SPC삼립,6402,232.91,2.38,1.4,40.16519993824301
068930,디지털대성,1801,48.57,2.99,1.19,0.37286063569682154
079000,와토스코리아,397,6.31,3.78,0.49,0.06038647342995169
000440,중앙에너비스,1143,7.82,1.64,1.78,0.18454258675078863
023410,유진기업,2651,116.56,4.73,0.3,0.07806343577620173
054050,농우바이오,1413,30.89,2.31,0.56,0.21075137446548564
273640,와이엠텍,2335,7.2,1.94,3.62,0.3108320251177394
023590,다우기술,8372,849.42,3.13,0.37,2.652659358505887
069260,TKG휴켐스,9218,27.18,5.0,1.03,16.698534098151686
036200,유니셈,2244,17.7,1.78,0.85,0.21133361738389433
002320,한진,2974,166.77,2.85,0.22,5.272158702237858
036930,주성엔지니어링,7338,71.9,1.82,1.04,0.29708318329132155
088790,진도,357,24.02,2.66,0.32,23.606811145510836
044340,위닉스,1894,103.41,3.57,0.85,0.18657261007054246
016590,신대양제지,2502,34.57,1.45,0.59,13.646127755794236
047050,포스코인터내셔널,47587,184.58,4.42,0.7,12.524468093605936
053160,프리엠스,483,10.15,0.74,0.68,0.09291338582677165
025950,동신건설,1037,26.47,1.2,1.18,0.04589585172109444
016380,KG스틸,9160,80.54,2.03,0.44,14.612485662788794
001740,SK네트웍스,10444,287.61,3.1,0.4,12.608297453496572
004270,남성,753,126.91,1.3,0.57,9.734513274336283
093050,LF,5108,55.96,4.4,0.31,45.290247678018574
078070,유비쿼스홀딩스,2481,12.8,1.52,1.25,0.1594957522608934
234690,녹십자웰빙,1379,56.24,1.22,1.52,0.40279627163781623
002230,피에스텍,847,17.13,5.32,0.52,0.06310367031551835
003160,디아이,1924,68.07,2.11,0.85,23.92571012381646
065370,위세아이텍,1174,75.18,1.36,2.13,0.14081632653061224
267270,HD현대건설기계,12214,106.84,2.81,0.8,17.45635910224439
024940,PN풍년,684,17.74,0.31,1.72,0.30642201834862387
119850,지엔씨에너지,863,45.9,1.4,0.5,0.08196721311475409
115390,락앤락,2916,17.68,31.15,0.52,29.38602681721948
072870,메가스터디,1415,18.57,9.68,0.4,0.15874195146111936
034730,SK,120557,170.87,2.65,0.6,7.7627465285114745
035900,JYP Ent.,33474,35.02,0.54,7.7,0.3809292143030893
017480,삼현철강,818,18.43,6.16,0.4,0.12929112795363354
033290,코웰패션,4026,115.1,4.31,0.77,0.27379168227800676
058470,리노공업,19662,7.77,1.93,4.78,0.29087488240827847
037350,성도이엔지,631,95.78,2.24,0.26,0.03568580542264753
002870,신풍,349,36.52,4.35,0.45,1.2455516014234875
001810,무림SP,518,50.39,0.58,0.28,0.01118925831202046
318000,KBG,1486,23.26,1.75,1.33,0.16937354988399073
011070,LG이노텍,66504,129.58,1.64,1.4,24.244404509067145
019440,세아특수강,1405,97.18,5.83,0.43,10.141987829614605
078600,대주전자재료,13715,171.68,0.14,8.16,0.11161939615736505
101170,우림피티에스,916,10.49,1.72,0.89,0.1407563025210084
003300,한일홀딩스,3447,59.64,7.41,0.23,10.3671970624235
008490,서흥,3383,97.23,1.19,0.89,14.820811744386875
065350,신성델타테크,3119,192.72,1.54,1.29,0.14319847085058937
265560,영화테크,1200,42.8,0.56,1.68,0.12300123001230012
012750,에스원,21545,36.29,4.22,1.34,28.477140241846122
084370,유진테크,6301,25.18,1.22,1.5,0.34953917050691247
067170,오텍,914,330.17,2.31,0.75,0.2242027800490597
200880,서연이화,5338,155.04,1.91,0.29,23.40568823498938
140910,에이리츠,164,166.67,4.88,0.52,0.4479283314669653
248170,샘표식품,1327,54.07,0.58,0.7,38.50984870111333
140520,대창스틸,583,43.76,5.24,0.39,0.07503126302626094
069960,현대백화점,12099,89.55,2.2,0.29,27.651976502365507
011790,SKC,35520,185.17,1.24,1.69,7.824060315027139
009270,신원,1510,126.21,6.47,0.6,47.226034110958636
104830,원익머트리얼즈,3296,30.91,2.82,0.8,0.25060034305317325
036830,솔브레인홀딩스,5702,42.94,0.71,0.43,0.09660806251109927
053700,삼보모터스,1442,227.73,1.0,0.36,0.1509543088490457
008260,NI스틸,1939,111.19,2.23,0.68,22.57171615500755
023810,인팩,1048,198.67,2.7,0.58,18.214980544747082
054040,한국컴퓨터,688,23.3,6.1,0.5,0.1809462915601023
378850,화승알앤에이,866,356.04,1.39,0.74,23.024136299100807
001120,LX인터내셔널,11976,154.21,8.84,0.57,23.777691410804508
078000,텔코웨어,895,18.43,6.86,0.58,13.096139288417866
009440,KC그린홀딩스,842,207.32,1.77,0.38,11.249842350863917
093190,빅솔론,1250,18.45,5.71,0.68,0.24055829228243022
038010,제일테크노스,792,118.73,1.76,0.71,0.18820984315846404
002460,화성산업,1001,109.03,4.76,0.28,6.433453960595094
051380,피씨디렉트,548,102.14,3.77,1.36,0.15673289183222958
037230,한국팩키지,745,176.7,1.46,1.07,0.11260775862068965
092300,현우산업,976,119.58,2.27,0.88,0.09679012345679013
054210,이랜텍,3062,133.43,1.33,1.26,0.23509060955518946
089980,상아프론테크,4572,81.61,0.74,2.29,0.1199404761904762
054930,유신,930,98.92,2.33,0.88,0.25011452130096196
020400,대동금속,294,115.7,0.67,0.61,0.09801980198019802
252500,세화피앤씨,458,9.62,0.78,1.43,0.4987714987714988
056190,에스에프에이,13788,36.28,2.39,1.13,0.13405703007323533
002900,TYM,3793,133.85,2.08,1.27,35.00831095767805
021240,코웨이,36198,88.8,2.33,1.74,56.96318526494238
000390,삼화페인트,1765,95.91,4.25,0.49,20.45299727520436
382840,원준,3436,41.17,1.21,2.23,0.11125238397965671
078930,GS,36794,105.74,5.71,0.33,23.597526103849397
059210,메타바이오메드,533,90.85,0.87,0.87,0.24112303881090008
094820,일진파워,2117,51.93,2.75,1.44,0.1458551941238195
298050,효성첨단소재,18815,267.04,4.5,2.11,17.787167342488157
017370,우신시스템,586,213.74,0.94,0.6,13.061946902654867
027410,BGF,3948,11.6,2.56,0.26,6.790505675954591
003310,대주산업,803,52.53,1.66,1.08,0.1522359657469077
290740,액트로,719,44.61,1.67,0.85,0.01956521739130435
003550,LG,139054,12.96,3.84,0.49,7.872118567711761
078340,컴투스,8273,43.23,2.18,0.62,0.20645566967092852
023800,인지컨트롤스,1517,194.3,2.86,0.54,12.901631240731588
004370,농심,23448,31.07,1.4,0.91,29.64378686525851
000240,한국앤컴퍼니,11876,11.55,4.66,0.34,7.9548096145799425
134790,시디즈,749,34.11,1.02,1.17,60.16451233842538
007370,진양제약,745,47.53,2.3,0.94,0.3994755244755245
123700,SJM,703,29.96,2.38,0.37,16.48170982326346
005290,동진쎄미켐,15604,96.11,0.43,2.21,0.24507021756530598
000210,DL,10006,155.76,1.69,0.33,8.248703810385976
094480,갤럭시아머니트리,2412,193.67,1.08,1.41,0.11065088757396449
020710,시공테크,837,31.06,0.48,0.65,0.020282728948985862
178920,PI첨단소재,9514,46.14,2.7,2.49,15.931863727454909
075580,세진중공업,3615,163.61,2.91,1.7,8.59006886553099
094280,효성ITX,1464,168.93,5.54,2.32,30.59954751131222
382480,지아이텍,1672,38.38,1.08,2.14,0.19528178243774574
031980,피에스케이홀딩스,1975,16.39,7.3,0.5,0.12941534713763703
010660,화천기계,826,25.31,0.95,0.53,11.833952912019827
087600,픽셀플러스,632,12.07,0.65,0.6,0.18756585879873552
005250,녹십자홀딩스,7571,82.61,1.76,0.8,19.442665850059853
158430,아톤,859,68.2,0.46,1.31,0.24873949579831933
118990,모트렉스,5021,188.32,1.81,1.85,0.25270829229860153
011390,부산산업,757,64.11,0.34,1.32,15.664439495174461
020000,한섬,6416,26.05,2.77,0.49,56.09307295067371
000910,유니온,1203,115.46,2.66,0.61,9.226269609146504
006280,녹십자,14818,61.21,1.35,1.11,23.037022371807563
048910,대원미디어,1918,51.54,0.72,1.76,0.2719708788351534
063170,서울옥션,2365,56.52,0.57,2.44,0.092125579001544
102120,어보브반도체,1712,91.56,2.47,1.09,0.17013574660633485
040420,정상제이엘에스,1139,28.15,7.42,1.3,0.2708124373119358
078140,대봉엘에스,870,25.39,0.63,0.76,0.13433637829124126
013570,디와이,1484,70.72,2.26,0.4,10.9859482057833
038950,파인디지털,541,13.66,1.11,0.46,0.26831588962892483
092870,엑시콘,1026,17.15,1.1,0.66,0.17629716981132076
039570,HDC랩스,2107,46.85,5.92,0.68,14.061683220073185
200670,휴메딕스,2980,63.28,1.81,1.66,0.2408630559225011
052260,현대바이오랜드,1888,36.21,0.52,1.56,0.20272572402044292
006660,삼성공조,1011,19.23,0.82,0.31,6.316812439261418
256630,포인트엔지니어링,1180,31.16,0.51,1.4,0.08797653958944282
001390,KG케미칼,4624,115.43,2.43,0.36,15.59031209269683
037460,삼지전자,1483,99.43,5.4,0.43,0.1463954893274265
024070,WISCOM,449,14.15,1.86,0.37,5.603112840466927
093520,매커스,1729,206.94,1.52,1.14,0.16154919748778787
009470,삼화전기,1369,56.22,2.19,1.34,28.612508986340764
377330,이지트로닉스,835,15.27,1.2,1.33,0.055714285714285716
009160,SIMPAC,3958,60.93,4.27,0.48,18.195005698891308
001800,오리온홀딩스,10179,23.69,4.56,0.44,21.68868331308063
060370,KT서브마린,1807,7.02,0.61,1.12,0.0024937655860349127
068400,SK렌터카,3877,547.25,2.25,0.59,29.89527229204069
075970,동국알앤에스,839,59.26,2.5,0.74,0.1485148514851485
014620,성광벤드,3789,11.74,0.75,0.8,0.11420982735723771
003650,미창석유,1181,11.27,3.43,0.38,16.204869857262803
007310,오뚜기,18355,83.3,1.89,0.89,14.031598408874446
180640,한진칼,27672,51.98,0.45,1.02,1.9692983576409286
120240,대정화금,1252,18.53,2.49,0.79,0.12255466052934408
036640,HRS,982,9.79,3.85,0.79,0.1710863986313088
092730,네오팜,1780,9.24,3.65,1.09,0.37540244687701224
403870,HPSP,19275,33.55,0.28,5.56,0.4220007665772327
014970,삼륭물산,708,88.67,1.57,1.2,0.04888888888888889
089010,켐트로닉스,3432,215.38,1.51,1.3,0.19808306709265175
009680,모토닉,3092,7.76,4.98,0.59,6.313294548588666
208140,정다운,808,80.5,4.68,0.75,0.2357100766057749
300120,라온피플,1304,60.77,1.02,1.87,0.1793416572077185
187870,디바이스이엔지,1182,25.23,1.52,0.71,0.10635769459298872
054950,제이브이엠,2671,46.54,1.47,1.36,0.22097539922313336
001540,안국약품,1065,44.77,2.39,0.75,0.5640911121036177
098460,고영,8719,28.35,1.1,2.66,0.4511105437835078
230360,에코마케팅,3566,45.01,2.15,2.45,0.8214401033257992
032300,한국파마,2168,118.92,0.23,3.9,0.27043544690603516
377740,바이오노트,5629,9.8,5.71,0.55,19.396698918611268
290270,휴네시온,374,18.46,0.94,1.12,0.3145539906103286
000050,경방,2853,65.34,1.16,0.38,10.10974925899223
053290,NE능률,713,31.58,1.59,0.73,0.4297153024911032
298020,효성티앤씨,17830,185.04,2.86,1.24,10.002546355239703
405100,큐알티,1478,43.4,4.0,1.38,0.1970509383378016
216050,인크로스,1746,123.58,2.56,1.56,0.1198818066694808
005810,풍산홀딩스,3554,18.48,4.59,0.3,9.476723836191809
296640,이노룰스,475,10.82,1.14,1.58,0.276657060518732
126560,현대퓨처넷,3482,8.32,3.59,0.37,5.189555337047962
383220,F&F,53093,66.48,1.11,5.88,81.27627053878487
024120,KB오토시스,722,103.37,4.1,0.42,0.07387475538160469
138080,오이솔루션,1730,27.27,1.14,1.24,0.12879191059073974
247540,에코프로비엠,222498,126.73,0.49,6.53,0.15298441111967281
263860,지니언스,1037,24.62,1.82,1.48,0.38023450586264657
333620,엔시스,1283,49.97,0.6,1.88,0.12066905615292713
063570,한국전자금융,1850,183.25,2.4,0.75,0.5231974292026511
002800,신신제약,750,103.61,0.9,1.42,0.25
102710,이엔에프테크놀로지,2929,69.09,0.74,0.76,0.20443907594745583
035890,서희건설,2982,113.8,3.98,0.34,0.1719678217821782
002360,SH에너지화학,873,31.94,1.22,0.95,8.856682769726248
004000,롯데정밀화학,15944,18.12,6.17,0.64,19.38888478854528
241560,두산밥캣,49723,84.07,3.9,0.69,21.06850914752822
381970,케이카,6669,117.38,6.58,2.26,37.4251497005988
004840,DRB동일,940,97.02,0.98,0.22,15.446466356326704
003220,대원제약,3237,82.32,1.87,1.55,52.46913580246913
066620,국보디자인,1260,87.67,2.45,0.79,0.18756855575868372
058650,세아홀딩스,4528,97.03,3.7,0.21,7.447635135135135
155650,와이엠씨,1176,22.99,4.42,0.95,0.25193525686136525
004020,현대제철,46505,92.39,3.27,0.22,7.700062498301677
030720,동원수산,398,94.64,2.88,0.65,17.48768472906404
053690,한미글로벌,3177,91.66,2.04,1.59,33.20825515947467
244920,에이플러스에셋,1045,85.5,4.13,0.75,39.328120474949316
050890,쏠리드,3281,89.77,0.86,1.53,0.24867603039373704
072020,중앙백신,1124,20.52,0.91,1.1,0.16362053959965187
131180,딜리,428,20.12,2.93,0.66,0.15121255349500715
044780,에이치케이,347,45.84,1.54,0.61,0.22041763341067286
197140,디지캡,514,17.61,0.75,0.83,0.1452513966480447
195940,HK이노엔,9334,54.88,0.86,0.9,0.1937773833952637
054540,삼영엠텍,491,59.71,1.37,0.71,0.10463968410661402
161580,필옵틱스,2185,218.9,0.5,1.59,0.17012063099288585
023450,동남합성,1410,84.07,1.61,3.54,24.321389793702497
092230,KPX홀딩스,2150,32.75,5.56,0.27,10.225836584427714
068290,삼성출판사,2230,20.44,0.83,1.38,11.914893617021278
185750,종근당,10720,81.06,1.16,1.57,48.23539870210685
317400,자이에스앤디,2831,170.44,4.98,0.6,15.230194090234034
073560,우리손에프앤지,1330,82.2,2.79,0.49,0.10435875943000839
166090,하나머티리얼즈,8256,61.18,1.83,2.14,0.25208507089241033
137400,피엔티,11484,366.52,0.23,4.01,0.09899806967552165
038500,삼표시멘트,3841,111.32,2.68,0.53,0.08707323788546255
348350,위드텍,1273,34.69,0.89,1.03,0.20799457994579945
031430,신세계인터내셔날,6743,53.38,2.02,1.06,73.97356690388676
090460,비에이치,8374,74.28,1.11,1.26,0.1915020351434528
003920,남양유업,3636,22.27,0.2,0.57,16.63526543278289
037440,희림,1289,192.53,1.83,1.53,0.13209442491210446
009300,삼아제약,1031,12.5,2.4,0.58,0.2470472440944882
060980,HL홀딩스,3476,126.81,6.5,0.31,9.145137944646695
011780,금호석유,38108,36.54,4.29,0.72,18.483541253740622
002240,고려제강,4720,46.61,1.41,0.3,11.92751105495894
009180,한솔로지스틱스,795,167.79,2.48,0.76,28.67030965391621
006740,영풍제지,7641,49.18,6.33,1.92,8.345606283750612
082920,비츠로셀,3786,27.72,1.57,1.44,0.17537942664418213
010640,진양폴리,586,50.07,4.52,1.44,18.22125813449024
001820,삼화콘덴서,4423,27.51,1.67,1.38,20.139130434782608
058400,KNN,1240,7.46,2.25,0.57,0.11300448430493273
194370,제이에스코퍼레이션,1730,108.93,6.34,0.68,32.465342825028095
007070,GS리테일,27017,122.45,1.53,0.71,29.183108905252027
004560,현대비앤지스틸,2270,63.45,0.97,0.3,9.407787363021683
012200,계양전기,645,132.61,1.12,0.59,16.46505376344086
123040,엠에스오토텍,2772,233.88,1.19,1.0,0.17851121774088963
105840,우진,1802,28.59,1.79,1.08,16.424482606781154
336370,솔루스첨단소재,12885,59.14,0.33,2.5,3.1074606433949348
017390,서울가스,4675,77.72,0.41,1.94,10.281622401539037
036530,SNT홀딩스,2647,40.86,4.46,0.25,9.920262664165103
011170,롯데케미칼,75669,55.14,1.89,0.44,1.0576973335424087
007570,일양약품,3326,70.7,0.78,1.54,43.35608189482136
045660,에이텍,743,11.11,2.33,0.76,0.12854251012145748
014130,한익스프레스,763,287.21,2.47,0.61,7.722481000245159
072710,농심홀딩스,3265,28.95,3.76,0.29,7.623641206536607
017550,수산중공업,1406,88.91,0.38,1.04,24.493695070691633
002170,삼양통상,1486,9.69,2.84,0.37,5.398907103825136
024880,케이피에프,1171,215.5,2.75,0.52,0.14088314809252028
006400,삼성SDI,457284,75.74,0.17,2.47,13.949599272907543
091590,남화토건,1145,18.01,1.9,0.74,0.038480272771553824
224110,에이텍모빌리티,616,67.87,1.04,0.91,0.2621825669183253
010960,삼호개발,911,29.03,4.97,0.41,7.223796033994335
005990,매일홀딩스,1193,89.96,1.79,0.32,0.501926858041683
095720,웅진씽크빅,3447,116.7,4.58,0.75,59.11734951947395
091700,파트론,4848,36.83,3.7,0.93,0.21236872812135357
002700,신일전자,1523,86.69,0.54,1.59,27.79594506213211
000720,현대건설,43651,110.71,1.72,0.51,7.234227728974689
002690,동일제강,470,13.97,0.48,0.26,5.230940456316082
046890,서울반도체,6139,66.31,2.18,0.79,0.14869369718582837
344820,KCC글라스,6555,53.16,6.5,0.41,13.260318609703114
000080,하이트진로,15990,187.11,3.72,1.47,31.898362032759348
009200,무림페이퍼,1077,252.35,2.04,0.24,8.661644230373389
110790,크리스에프앤씨,2266,90.29,2.43,0.7,0.4703925482368596
013870,지엠비코리아,1073,105.66,1.8,0.33,15.668119099491648
048430,유라테크,982,21.22,1.32,0.74,0.0808362369337979
177830,파버나인,627,85.3,2.68,0.64,0.15568022440392706
001560,제일연마,1087,12.97,3.12,0.78,16.522574447646495
025000,KPX케미칼,2240,30.51,5.39,0.42,18.769309989701338
027710,팜스토리,2179,291.34,1.52,0.88,0.13729508196721313
300720,한일시멘트,8346,56.24,4.98,0.56,12.51625487646294
074600,원익QnC,6545,171.18,0.64,1.64,0.18519971749195638
126600,BGF에코머티리얼즈,3187,74.38,2.08,0.71,0.11445612042033514
101490,에스앤에스텍,10361,19.1,0.57,2.93,0.1490299823633157
000320,노루홀딩스,1346,77.35,5.02,0.34,17.977815699658702
012690,모나리자,1023,26.0,1.75,1.34,26.380368098159508
009290,광동제약,3155,70.37,1.68,0.55,30.257510729613735
026040,제이에스티나,490,27.16,4.06,0.76,0.8716216216216216
039420,케이엘넷,642,18.97,3.24,1.09,0.25
221980,케이디켐,550,26.85,3.26,0.54,0.10229132569558101
040910,아이씨디,2363,32.14,1.13,0.9,0.07901234567901234
005710,대원산업,1376,33.92,3.3,0.25,0.10763454317897372
032960,동일기연,555,6.87,0.26,0.76,0.16114457831325302
151860,KG ETS,4500,96.64,1.57,0.42,0.11200141401048724
110990,디아이티,1394,43.35,5.61,0.55,0.06711145996860282
065680,우주일렉트로,1151,29.87,2.21,0.53,0.16626835097302833
008420,문배철강,725,23.24,1.55,0.39,4.9299178347027555
042370,비츠로테크,2221,54.06,0.75,0.81,0.13402061855670103
006840,AK홀딩스,2649,290.25,1.16,0.41,14.20178646364127
262840,아이퀘스트,666,19.6,1.51,1.46,0.24620573355817876
059120,아진엑스텍,863,15.51,0.96,1.59,0.3055555555555556
101160,월덱스,3500,40.83,0.27,1.65,0.2669977081741788
086710,선진뷰티사이언스,976,102.75,0.3,1.25,0.14970501474926254
102460,이연제약,3345,95.63,0.69,1.58,16.85578708479472
100250,진양홀딩스,1794,48.3,6.61,0.49,5.593702897337129
192400,쿠쿠홀딩스,5871,18.78,4.86,0.58,24.062635928664637
002100,경농,1987,72.23,3.96,0.84,24.60989745876059
005740,크라운해태홀딩스,939,122.75,1.47,0.35,25.741029641185648
039010,현대에이치티,646,29.05,1.93,0.6,0.13287904599659284
143210,핸즈코퍼레이션,742,342.96,0.0,0.39,4.474843496406214
005490,POSCO홀딩스,307416,68.92,4.34,0.43,7.773141693460207
263020,디케이앤디,567,77.27,1.79,0.68,0.2560646900269542
192650,드림텍,6239,64.53,2.2,1.48,22.086261206687666
126700,하이비젼시스템,2954,38.65,0.66,1.23,0.2330316742081448
075180,새론오토모티브,926,11.41,2.77,0.42,3.786104605776737
108230,톱텍,3422,45.06,1.53,0.72,0.09117524048515266
103590,일진전기,2851,143.41,2.45,0.57,11.459201905896368
041830,인바디,3715,12.32,1.49,1.22,0.49896992171405025
023600,삼보판지,1600,27.61,1.71,0.33,0.1749365661122075
033530,세종공업,2398,186.35,1.82,0.37,12.284670262745781
012450,한화에어로스페이스,52148,286.29,1.36,1.3,8.901981223568841
163730,핑거,1096,35.08,0.94,2.13,0.22022838499184338
064960,SNT모티브,7355,39.41,3.81,0.66,13.994288045695635
288620,에스퓨얼셀,1409,117.47,0.25,1.98,0.0953625081645983
260660,알리코제약,985,73.4,1.98,1.1,0.6964169381107492
122310,제노레이,1101,20.73,2.07,1.2,0.332391713747646
098660,에스티오,330,101.95,4.55,0.96,0.7152317880794702
011280,태림포장,1954,77.68,1.75,0.58,17.72113022113022
086520,에코프로,144854,111.98,0.47,2.04,0.14871487897040667
241590,화승엔터프라이즈,4798,149.64,0.49,1.04,13.497763924651037
002390,한독,2085,128.12,2.39,0.61,19.951785099299734
010690,화신,5695,181.51,1.39,0.7,17.320326498108702
007660,이수페타시스,5774,145.59,1.78,1.6,30.01831501831502
267290,경동도시가스,1270,170.29,3.46,0.38,10.828025477707007
030000,제일기획,21639,125.26,4.99,1.77,55.913353202006256
419120,산돌,935,19.65,1.4,1.76,0.23099850968703428
002600,조흥,1221,181.32,3.21,0.79,7.883817427385892
006880,신송홀딩스,869,152.1,2.0,0.71,11.716171617161717
002380,KCC,19194,136.32,3.91,0.34,11.319129473644091
007210,벽산,1460,99.09,1.24,0.52,15.586573612495847
128940,한미약품,37937,90.7,0.16,4.12,37.33243271329108
009450,경동나비엔,5973,96.64,1.48,0.95,45.96267190569744
097950,CJ제일제당,47872,160.33,1.45,0.91,21.839723854837203
195870,해성디에스,7565,47.47,2.51,1.36,40.22134627046695
008370,원풍,535,8.91,4.03,0.67,0.15952890792291222
006580,대양제지,875,54.09,1.23,0.59,0.03095558546433378
